,pull_request_id,loc_additions,loc_deletions,num_files_changed,merged_status
186,273024,7335,1362,71,Merged
187,259413,7269,1801,90,Merged
188,269909,7115,5,63,Rejected
189,257097,7070,24,27,Merged
190,258174,7067,353,73,Rejected
191,254048,6995,0,36,Merged
192,269907,6904,5,62,Rejected
193,265490,6897,9,34,Merged
194,261916,6886,3555,436,Rejected
195,254126,6863,1975,11,Rejected
196,263771,6862,72,44,Merged
197,258553,6726,7976,77,Merged
198,255394,6553,2322,66,Merged
199,254903,6464,0,77,Rejected
200,273615,6346,3565,448,Rejected
201,273613,6346,3565,448,Rejected
202,214220,6266,3,43,Rejected
203,257134,6120,93,16,Merged
204,256373,6077,2,35,Rejected
205,259043,5981,3157,73,Merged
206,264882,5913,1325,578,Rejected
207,267649,5879,0,30,Merged
208,269810,5875,4283,231,Merged
209,257103,5803,1613,42,Merged
210,269697,5780,9,56,Merged
211,254694,5753,61,70,Merged
212,209154,5703,141,110,Rejected
213,209029,5701,1635,551,Merged
214,209559,5606,1589,52,Merged
215,265784,5510,1048,220,Rejected
216,262475,5452,2434,587,Merged
217,266980,5375,4311,433,Merged
218,263830,5353,67,73,Rejected
219,213827,5347,103,55,Rejected
220,259589,5298,2090,79,Merged
221,214231,5277,2442,43,Merged
222,261808,5246,16,47,Merged
223,209869,5214,15,28,Rejected
224,264033,5172,673334,1032,Merged
225,273135,5162,704,27,Rejected
226,214175,5147,260,122,Merged
227,214816,5112,1488,26,Merged
228,261918,5074,1,23,Rejected
229,256313,5063,31,26,Rejected
230,214614,5057,11357,1011,Merged
231,256291,5027,64,12,Merged
232,258666,4994,2439,502,Merged
233,215184,4956,170,116,Rejected
234,213603,4936,3522,286,Merged
235,255494,4935,1,47,Merged
236,264052,4930,1038,23,Merged
237,254643,4914,578,212,Rejected
238,257706,4905,0,32,Rejected
239,256038,4880,3860,356,Merged
240,254433,4798,8,53,Merged
241,254174,4636,787,70,Merged
242,213838,4621,8,53,Rejected
243,254163,4619,368,86,Merged
244,256272,4539,1508,94,Rejected
245,266123,4457,0,30,Merged
246,258089,4450,0,30,Merged
247,215188,4444,89,7,Merged
248,272790,4437,769,545,Merged
249,254088,4426,346,74,Rejected
250,254056,4347,5744,100,Merged
251,254435,4317,5743,100,Rejected
252,255761,4273,2048,334,Rejected
253,255472,4271,2,40,Rejected
254,265150,4175,1,41,Rejected
255,256947,4159,1499,525,Merged
256,256486,4131,3793,7,Merged
257,258092,4130,502,61,Rejected
258,209033,4092,125,79,Rejected
259,265800,4042,308,70,Rejected
260,260665,4039,1093,138,Rejected
261,260056,4028,1090,137,Merged
262,256767,4003,2804,37,Merged
263,259475,3974,0,7,Rejected
264,265603,3902,34,39,Merged
265,260910,3902,2281,324,Merged
266,259894,3900,0,23,Merged
267,268488,3869,18,50,Merged
268,262646,3838,1,21,Merged
269,268628,3828,207,79,Merged
270,254395,3776,0,46,Merged
271,258930,3775,2301,213,Rejected
272,264119,3761,0,50,Rejected
273,256381,3748,83,72,Merged
274,260617,3748,864,383,Rejected
275,209662,3694,834,91,Rejected
276,267027,3678,2,30,Merged
277,260052,3675,46,33,Merged
278,257971,3651,118,48,Rejected
279,256699,3644,238,682,Merged
280,254641,3637,167,12,Rejected
281,255148,3596,167,13,Rejected
282,264253,3583,515,57,Merged
283,266355,3569,3652037,713,Merged
284,256545,3568,288,87,Merged
285,262869,3567,826,81,Rejected
286,209663,3563,794,88,Merged
287,215001,3562,1987,290,Merged
288,266353,3558,3652029,711,Rejected
289,209785,3549,2264,40,Merged
290,254335,3538,453,61,Merged
291,268233,3488,1,13,Merged
292,256746,3461,0,17,Merged
293,273654,3457,3381,6,Merged
294,270609,3456,516,20,Merged
295,214892,3453,37,78,Rejected
296,266384,3453,312427,690,Merged
297,254726,3441,0,21,Merged
298,255851,3437,342,57,Rejected
299,264259,3388,559,174,Rejected
300,214941,3349,0,24,Merged
301,213798,3349,0,24,Merged
302,273004,3330,704,21,Rejected
303,214844,3322,0,16,Rejected
304,215017,3320,312,48,Rejected
305,213873,3283,872,103,Merged
306,209547,3269,87,51,Merged
307,213804,3208,8,33,Rejected
308,260454,3190,2286,51,Rejected
309,267411,3149,0,45,Rejected
310,209089,3147,9,36,Merged
311,256604,3072,1248,69,Rejected
312,255275,3071,1248,69,Merged
313,254642,3059,122,38,Rejected
314,214212,3048,2227,15,Merged
315,263756,3044,62,36,Merged
316,213463,3043,2899,15,Rejected
317,261016,3041,0,16,Rejected
318,258660,3036,25,21,Rejected
319,261885,3033,0,42,Rejected
320,268316,3032,13,20,Merged
321,214301,3029,1685,266,Merged
322,209096,2986,216,97,Merged
323,259486,2963,1570,57,Merged
324,209364,2957,0,26,Rejected
325,254876,2934,71,37,Rejected
326,209298,2909,2779,12,Merged
327,262025,2882,1435,290,Merged
328,255773,2871,2,32,Merged
329,272570,2860,333,22,Rejected
330,254352,2832,73,23,Merged
331,254038,2807,102,44,Rejected
332,262217,2781,93,70,Rejected
333,209698,2777,504,47,Merged
334,266695,2774,1961,382,Merged
335,254679,2764,109,32,Merged
336,266748,2751,47,52,Merged
337,269550,2750,1,33,Merged
338,264926,2742,0,41,Merged
339,259891,2729,38,21,Merged
340,259813,2725,2,23,Rejected
341,260889,2723,776,84,Rejected
342,268441,2707,1288,243,Merged
343,263484,2707,224,16,Merged
344,213720,2707,14,89,Rejected
345,215164,2697,12,44,Merged
346,257443,2697,37,23,Rejected
347,256943,2688,47,51,Merged
348,209076,2685,1967,78,Rejected
349,209078,2684,1965,78,Rejected
350,255413,2681,9,28,Merged
351,266034,2675,1348,19,Merged
352,209161,2658,1654,27,Merged
353,273216,2652,0,15,Merged
354,254680,2648,1,36,Merged
355,254106,2636,411,44,Rejected
356,264820,2633,0,15,Merged
357,266434,2593,395654,518,Merged
358,209543,2585,1333,81,Rejected
359,267805,2580,267,33,Merged
360,260445,2577,1078,243,Merged
361,253936,2577,1,13,Merged
362,256560,2569,570,50,Rejected
363,256068,2569,966,56,Rejected
364,256601,2569,966,56,Rejected
365,256827,2564,190,36,Rejected
366,269232,2557,1629,429,Merged
367,263495,2542,10,27,Merged
368,261321,2538,506,15,Merged
369,264441,2535,1488,208,Merged
370,214789,2512,12,33,Merged
371,254296,2510,2,14,Merged
372,261641,2501,86,38,Merged
373,261573,2493,0,40,Merged
374,264036,2491,0,39,Rejected
375,254343,2488,2173,64,Rejected
376,259345,2488,429,406,Merged
377,213553,2466,599,30,Merged
378,255066,2455,9,41,Rejected
379,269527,2439,0,11,Merged
380,260413,2422,9508,45,Merged
381,214942,2418,38,21,Merged
382,265554,2416,628,29,Merged
383,260076,2399,363,56,Rejected
384,266642,2386,862,306,Merged
385,256293,2373,8,393,Merged
386,264807,2334,21,41,Merged
387,263090,2321,0,2,Rejected
388,257152,2320,193,38,Merged
389,259036,2314,1274,202,Merged
390,255662,2314,0,12,Merged
