"","pull_request_id","loc_additions","loc_deletions","num_files_changed","merged_status"
"174",211514,286,1,7,"Rejected"
"175",247560,286,0,10,"Merged"
"176",230397,286,0,3,"Rejected"
"177",235173,285,21,4,"Merged"
"178",274897,285,70,7,"Merged"
"179",210076,285,12,7,"Rejected"
"180",275816,285,15,6,"Merged"
"181",235276,285,21,4,"Merged"
"182",241328,285,0,6,"Rejected"
"183",232835,284,0,6,"Merged"
"184",270944,284,5,5,"Merged"
"185",287478,284,17,11,"Rejected"
"186",213349,284,42,8,"Rejected"
"187",230766,284,0,4,"Merged"
"188",230557,284,13,3,"Merged"
"189",211899,284,0,2,"Merged"
"190",238129,284,1,7,"Rejected"
"191",285775,284,17,9,"Rejected"
"192",244114,284,14,8,"Merged"
"193",210882,284,48,7,"Merged"
"194",251782,284,0,3,"Merged"
"195",287930,284,65,8,"Merged"
"196",238080,284,15,3,"Merged"
"197",246408,284,30,6,"Merged"
"198",210605,284,25,11,"Merged"
"199",245765,284,0,1,"Merged"
"200",242713,284,38,8,"Rejected"
"201",239903,284,25,6,"Merged"
"202",233871,284,72,1,"Merged"
"203",240900,283,0,2,"Merged"
"204",233783,283,22,4,"Merged"
"205",228857,283,0,6,"Merged"
"206",210600,283,0,1,"Rejected"
"207",289615,283,70,7,"Rejected"
"208",228893,283,14,3,"Merged"
"209",250408,283,0,6,"Merged"
"210",287138,282,1,1,"Merged"
"211",236000,282,0,5,"Merged"
"212",210572,282,4,8,"Merged"
"213",242653,282,24,2,"Merged"
"214",283214,282,59,5,"Merged"
"215",233744,282,56,11,"Merged"
"216",281243,282,11,9,"Merged"
"217",278125,282,57,7,"Merged"
"218",234036,282,0,6,"Merged"
"219",232268,282,10,3,"Merged"
"220",281260,282,57,7,"Merged"
"221",286647,282,14,2,"Merged"
"222",245778,282,13,10,"Rejected"
"223",231763,281,15,4,"Merged"
"224",285441,281,1,1,"Merged"
"225",237511,281,0,1,"Merged"
"226",242376,281,68,6,"Merged"
"227",229779,281,0,4,"Rejected"
"228",243351,281,0,1,"Rejected"
"229",232083,280,61,7,"Merged"
"230",246617,280,2,4,"Merged"
"231",282062,280,26,4,"Merged"
"232",210796,280,7,6,"Merged"
"233",238596,280,0,6,"Rejected"
"234",271794,280,12,10,"Merged"
"235",289624,280,16,4,"Merged"
"236",289628,280,8,9,"Rejected"
"237",290273,280,32,6,"Merged"
"238",210131,280,17,5,"Merged"
"239",237412,280,5,2,"Merged"
"240",248523,280,18,10,"Merged"
"241",213016,279,57,7,"Merged"
"242",291469,279,10,11,"Merged"
"243",279303,279,0,6,"Rejected"
"244",258829,279,51,6,"Rejected"
"245",269577,278,33,9,"Merged"
"246",280373,278,14,7,"Merged"
"247",282935,278,23,8,"Merged"
"248",252131,278,0,4,"Rejected"
"249",280329,278,14,7,"Merged"
"250",293665,278,19,8,"Merged"
"251",234227,278,0,3,"Merged"
"252",241430,278,3,4,"Rejected"
"253",243990,278,2,3,"Merged"
"254",280374,278,14,7,"Merged"
"255",268996,277,56,2,"Merged"
"256",235507,277,37,8,"Merged"
"257",245083,277,57,2,"Merged"
"258",280916,277,14,9,"Merged"
"259",271387,277,0,2,"Rejected"
"260",268866,277,11,8,"Merged"
"261",246651,277,0,2,"Rejected"
"262",238536,277,0,1,"Merged"
"263",243729,277,0,2,"Merged"
"264",291994,277,14,4,"Merged"
"265",236992,277,0,5,"Merged"
"266",238288,276,0,2,"Merged"
"267",275048,276,0,6,"Rejected"
"268",235304,276,1,2,"Merged"
"269",235301,276,1,2,"Rejected"
"270",251449,276,0,5,"Merged"
"271",235302,276,1,2,"Rejected"
"272",248520,276,31,10,"Merged"
"273",234081,276,4,3,"Merged"
"274",266433,276,40,11,"Merged"
"275",228853,276,23,10,"Merged"
"276",286495,276,17,7,"Merged"
"277",293931,275,1,7,"Merged"
"278",271680,275,15,6,"Merged"
"279",290092,275,63,3,"Merged"
"280",229305,275,6,2,"Merged"
"281",232255,275,10,6,"Merged"
"282",293994,275,1,7,"Merged"
"283",274569,275,24,1,"Merged"
"284",263608,275,49,9,"Merged"
"285",211669,275,14,4,"Rejected"
"286",242270,275,30,5,"Merged"
"287",290572,274,45,9,"Merged"
"288",292404,274,5,7,"Rejected"
"289",265695,274,18,6,"Merged"
"290",242905,274,0,1,"Rejected"
"291",278563,274,13,10,"Merged"
"292",235406,274,0,1,"Rejected"
"293",280465,274,12,7,"Rejected"
"294",246025,274,0,1,"Merged"
"295",248160,274,0,1,"Rejected"
"296",285138,274,9,3,"Merged"
"297",233471,274,0,1,"Merged"
"298",249401,274,3,4,"Merged"
"299",283107,274,2,7,"Merged"
"300",293435,274,7,4,"Merged"
"301",243677,274,5,3,"Merged"
"302",211453,273,63,9,"Merged"
"303",276933,273,31,10,"Merged"
"304",230156,273,36,9,"Merged"
"305",275747,273,12,4,"Merged"
"306",245584,273,0,8,"Rejected"
"307",242158,273,12,10,"Merged"
"308",240251,273,20,3,"Merged"
"309",262522,273,7,9,"Merged"
"310",231496,273,0,3,"Rejected"
"311",232852,273,1,3,"Merged"
"312",280020,273,1,2,"Rejected"
"313",209892,273,7,7,"Merged"
"314",294035,272,61,10,"Merged"
"315",279808,272,21,4,"Rejected"
"316",287433,272,0,6,"Merged"
"317",211598,272,28,7,"Rejected"
"318",234557,272,0,1,"Rejected"
"319",228905,272,0,4,"Rejected"
"320",283545,272,54,6,"Merged"
"321",293259,272,3,2,"Merged"
"322",235623,272,27,10,"Merged"
"323",238484,271,1,5,"Merged"
