pull_request_id,pr_src_title
282637,Automated cherry pick of #71509: Fix device mountable volume names in DSW
244040,Add e2e tests that check for wrapped volume race
283898,Add applier flag
234706,Implemented Scale sub-resource for Deployment.
266156,Support field selectors for CRDs
243374,Adding label-config yaml file consumed by check-labels munger
240295,YAML unit/integration job.
211655,Move watch filter into storage level
235350,Added horizontal pod autoscaler example.
235121,Allow specifying scheme when proxying
279942,kube-scheduler: output flags in logical sections
279886,remove idle tokens in kubelet token manager
235514,Added horizontal pod autoscaler example.
263952,kubeadm: Upgrade Bootstrap Tokens to beta when upgrading to v1.8
245740,Create a get-kube-binaries script to download client/server tarballs
236490,Zeppelin: Add Zeppelin image to Spark example
211606,Sketch: a third take on defaulting values
273232,Implement CRD Establishment Utility Function
228676,Added new command clusterinfo to kubectl
289055,cmd/kubemark: support custom auth provider (e.g. EKS)
234598,Created netexec docker image
281165,Add log2file base image
286505,[WIP] test: add unit tests for azure cloudprovider backoff implementation
259840,Requeue DaemonSets if non-daemon pods were deleted.
282626,Allow enabling/disabling specific extensions/v1beta1 resources
241869,Implement first set of federated service e2e tests.
285125,tests: Adds agnhost image
251064,Centos provider: generate SSL certificates for etcd cluster.
249791,Allow setting replace patchStrategy for structs
259529,Extend controller manager with optional secrets
288821,Fix in kube-proxy for sctp ipset entries
287258,Score plugin for the scheduling framework.
251083,"ThirdPartyResource example: added watcher example, code cleanup"
233864,Design proposal: Horizontal Pod Autoscaler.
211514,Update the kubelet with the ability to register itself with the master.
247560,add create clusterrolebinding command
230397,Inits the K8S on DCOS solution/blueprint
235173,Unrevert #14608 and decrease the latency of GCE load balancer deletions
274897,Add smart retries to resource creations in testing framework
210076,WIP: First cut at input validation for Kubelet
275816,Adds e2e test for vpxd restart scenario in vSphere Cloud Provider
235276,Automated cherry pick of #14964 upstream release 1.1
241328,DO NOT MERGE Generate a client for third party resource data
232835,Add an nginx https example
270944,Add list of pods that use a volume to multiattach events
287478,Scheduler config validation
213349,Node event
230766,Prometheus dashboard add-on kube application ( #3118 )
230557,kubelet/rkt: Add podInfo.
211899,Admission control plugins: LimitRanger and ResourceQuota
238129,add event gc controller
285775,[DO NOT REVIEW][DO NOT SUBMIT]Optimize watch copies and serializations
244114,Basic scaler/reaper for petset
210882,Event impl supporting changes
251782,client-go workqueue example
287930,"Add ImageFSInfo, ContainerStats, and ListContainerStats impl for linux to dockershim"
238080,Fix race condition in cinder attach/detach
246408,Generalize Node preparation for e2e and integration tests
210605,Add simple service redirection
245765,Add the original summary test back
242713,"NVIDIA GPU discovery, could support more than 1 GPU on 1 Minion, more than 1 GPU on 1 Pod."
239903,"Support addon Deployments, make heapster a deployment with a nanny."
233871,Incorporate Cluster Federation/Ubernetes document feedback
240900,Add data structure for managing go routines by name
233783,Store previous value in WatchCache for filtering
228857,Storm example
210600,Proposal: Describe possible project structure and implications
289615,add pod information to device plugin allocate request
228893,genericetcd.Etcd should test resourceVersion
250408,Standard Debian base image
287138,Add tests to detect default changes to podspec and podspectemplate defaults
236000,Automated cherry pick of #15233 #15842 #16136 upstream release 1.1
210572,Add IP per pod with Open vSwitch in Vagrant
242653,Allow fieldSelectors to match arbitrary values
283214,kubeadm: graduate control plane prepare phase
233744,Add information about ports opened by Kubelet to API
281243,Add network stats for Windows containers
278125,Store the latest cloud provider node addresses
234036,Apache Spark Example extended to use GlusterFS Volume Plugin
232268,Update skydns/msg dep
281260,Automated cherry pick of #65226: Put all the node address cloud provider retrival complex
286647,Increase Network Policy tests coverage
245778,Add SynchronousGC option to DeleteOptions
231763,Scrape /metrics of kubelets from e2e tests
285441,Adds an integration test for cross group-version server-side apply
237511,Kubelet pod eviction proposal
